iteration,train_loss,val_loss,epsilon
0,5.565377712249756,5.572004318237305,10
5,5.359353065490723,5.336941719055176,10
10,5.2660932540893555,5.227476119995117,10
15,5.1659255027771,5.160457611083984,10
20,5.0928802490234375,5.139366149902344,10
25,5.070553302764893,5.047603607177734,10
30,5.08383321762085,5.024491310119629,10
35,5.001650810241699,5.028616905212402,10
40,4.965360164642334,4.96213960647583,10
45,4.953582763671875,4.952876567840576,10
50,4.882781982421875,4.921652793884277,10
55,4.849488258361816,4.866676330566406,10
60,4.918209552764893,4.839486122131348,10
65,4.817661285400391,4.789093017578125,10
70,4.771693229675293,4.8104729652404785,10
75,4.810133934020996,4.736979007720947,10
80,4.7396392822265625,4.7079291343688965,10
85,4.727138519287109,4.697271347045898,10
90,4.681809425354004,4.717495441436768,10
95,4.68170166015625,4.683691024780273,10
