epoch,train_loss,val_loss,epsilon
1,8.6819,7.2267,1.63
2,6.0217,5.7505,1.97
3,4.9195,5.1871,2.21
4,4.4278,4.8328,2.41
5,4.1657,4.5664,2.59
6,3.9059,4.3336,2.75
7,3.6978,4.1738,2.90
8,3.5679,4.0658,3.04
9,3.4417,3.9368,3.17
10,3.3339,3.8376,3.30
11,3.2364,3.7523,3.43
12,3.1542,3.6692,3.55
13,3.0881,3.5890,3.66
14,3.0176,3.5455,3.77
15,2.9807,3.5105,3.88
16,2.8992,3.4840,3.99
17,2.8787,3.4524,4.09
18,2.8225,3.4111,4.20
19,2.8259,3.3858,4.30
20,2.7987,3.3680,4.40
21,2.7633,3.3378,4.49
22,2.7429,3.3117,4.59
23,2.7109,3.3125,4.68
24,2.7060,3.2858,4.77
25,2.6714,3.2737,4.87
26,2.6454,3.2743,4.96
27,2.6447,3.2547,5.04
28,2.6336,3.2546,5.13
29,2.6305,3.2506,5.22
30,2.6330,3.2153,5.30
31,2.6164,3.1988,5.39
32,2.6244,3.1713,5.47
33,2.5913,3.1687,5.55
34,2.6026,3.1610,5.63
35,2.5782,3.1655,5.72
36,2.5779,3.1605,5.80
37,2.5678,3.1641,5.87
38,2.5717,3.1702,5.95
39,2.5385,3.1671,6.03
40,2.5417,3.1434,6.11
41,2.5562,3.1135,6.18
42,2.5255,3.1195,6.26
43,2.5367,3.1082,6.34
44,2.5181,3.1089,6.41
45,2.5185,3.1088,6.48
46,2.5225,3.1057,6.56
47,2.5109,3.1002,6.63
48,2.4923,3.0989,6.70
49,2.5267,3.0770,6.78
50,2.5109,3.0586,6.85
51,2.5152,3.0553,6.92
52,2.4959,3.0595,6.99
53,2.4884,3.0513,7.06
54,2.5019,3.0714,7.13
55,2.4909,3.0748,7.20
56,2.4964,3.0605,7.27
57,2.4750,3.0760,7.33
58,2.4699,3.0844,7.40
59,2.4773,3.0730,7.47
60,2.4798,3.0570,7.54
61,2.4535,3.0547,7.60
62,2.4575,3.0704,7.67
63,2.4607,3.0572,7.74
64,2.4885,3.0438,7.80
65,2.4469,3.0752,7.87
66,2.4444,3.0740,7.93
67,2.4507,3.0649,8.00
68,2.4571,3.0848,8.06
69,2.4481,3.0759,8.13
70,2.4589,3.0828,8.19
71,2.4488,3.0779,8.26
72,2.4378,3.0718,8.32
73,2.4371,3.0662,8.38
74,2.4346,3.0673,8.44
75,2.4543,3.0685,8.51
76,2.4456,3.0797,8.57
77,2.4336,3.0778,8.63
78,2.4325,3.0730,8.69
79,2.4215,3.0751,8.75
80,2.4307,3.0828,8.82
81,2.4247,3.0892,8.88
82,2.4213,3.0716,8.94
83,2.4036,3.0799,9.00
84,2.4240,3.0575,9.06
85,2.4211,3.0593,9.12
86,2.4257,3.0432,9.18
87,2.4185,3.0454,9.24
88,2.4105,3.0718,9.30
89,2.4227,3.0719,9.36
90,2.4093,3.0519,9.42
91,2.4052,3.0445,9.47
92,2.3935,3.0594,9.53
93,2.4156,3.0606,9.59
94,2.3982,3.0406,9.65
95,2.4012,3.0480,9.71
96,2.3936,3.0271,9.77
97,2.4098,3.0286,9.82
98,2.4088,3.0221,9.88
99,2.3894,3.0227,9.94
100,2.4039,3.0219,9.99
