iteration,train_loss,val_loss,epsilon
0,5.553056716918945,5.550889492034912,1
1,5.529605865478516,5.53200626373291,1
2,5.501352310180664,5.503355503082275,1
3,5.470607757568359,5.481451511383057,1
4,5.452281475067139,5.4439496994018555,1
5,5.42116117477417,5.4159345626831055,1
6,5.397296905517578,5.405920505523682,1
7,5.388581275939941,5.351040840148926,1
8,5.366515636444092,5.363656044006348,1
9,5.3289923667907715,5.343272686004639,1
10,5.323532581329346,5.329798698425293,1
11,5.302759647369385,5.309140682220459,1
12,5.28996467590332,5.287785053253174,1
13,5.284098148345947,5.287098407745361,1
14,5.253807067871094,5.27519416809082,1
15,5.292179107666016,5.2388200759887695,1
16,5.233277320861816,5.246973514556885,1
17,5.223065376281738,5.223751068115234,1
18,5.209007740020752,5.225594520568848,1
19,5.203415870666504,5.177821636199951,1
20,5.186792373657227,5.205986022949219,1
21,5.214138984680176,5.186483383178711,1
22,5.176797866821289,5.19206428527832,1
23,5.181814670562744,5.1671295166015625,1
24,5.166681289672852,5.176750183105469,1
25,5.175602912902832,5.159696102142334,1
26,5.117229461669922,5.150816440582275,1
27,5.125055313110352,5.133183002471924,1
28,5.124283790588379,5.1479949951171875,1
29,5.121671676635742,5.148536205291748,1
30,5.127209186553955,5.114130020141602,1
31,5.113652229309082,5.083954334259033,1
32,5.106436729431152,5.09988260269165,1
33,5.0992751121521,5.121959209442139,1
34,5.0962233543396,5.056468963623047,1
35,5.100065231323242,5.100597381591797,1
36,5.037968635559082,5.027082920074463,1
37,5.064191818237305,5.096053123474121,1
38,5.080942153930664,5.039251327514648,1
39,5.081517219543457,5.020525932312012,1
40,5.07697868347168,5.068922996520996,1
41,5.006435394287109,5.031519412994385,1
42,5.007884979248047,5.040720462799072,1
43,5.024191856384277,5.035638809204102,1
44,5.000457763671875,5.005794525146484,1
45,4.989834308624268,5.015384674072266,1
46,5.013688087463379,5.0461320877075195,1
47,5.061709403991699,5.008301734924316,1
48,5.025294303894043,5.03099250793457,1
49,4.997178077697754,4.964295387268066,1
50,4.982972145080566,4.992270469665527,1
51,4.976729869842529,5.014716148376465,1
52,5.011814117431641,5.00685977935791,1
53,4.945974349975586,4.98105525970459,1
54,5.011262893676758,4.979676246643066,1
55,4.950695991516113,4.966653823852539,1
56,4.973320007324219,4.979820728302002,1
57,4.9715375900268555,4.924298286437988,1
58,4.885843753814697,4.9076385498046875,1
59,4.957652568817139,4.945858955383301,1
60,4.933309555053711,4.930641174316406,1
61,4.922228813171387,4.959638595581055,1
62,4.919739246368408,4.934295654296875,1
63,4.8721466064453125,4.891366958618164,1
64,4.952325820922852,4.928471088409424,1
65,4.872910499572754,4.904108047485352,1
66,4.88417387008667,4.888888359069824,1
67,4.898210525512695,4.878929138183594,1
68,4.853254318237305,4.884368896484375,1
69,4.860335350036621,4.889716148376465,1
70,4.905803680419922,4.842761993408203,1
71,4.881940841674805,4.827483177185059,1
72,4.8883233070373535,4.869149208068848,1
73,4.8774213790893555,4.862105369567871,1
74,4.883908271789551,4.8496904373168945,1
75,4.805146217346191,4.862066268920898,1
76,4.871428489685059,4.8506550788879395,1
77,4.848099708557129,4.831015586853027,1
78,4.8367719650268555,4.865541458129883,1
79,4.858430862426758,4.803804397583008,1
80,4.863147735595703,4.854921340942383,1
81,4.790306568145752,4.839268684387207,1
82,4.873868942260742,4.8185200691223145,1
83,4.796969890594482,4.807907581329346,1
84,4.822825908660889,4.847774982452393,1
85,4.825170516967773,4.845073699951172,1
86,4.817237854003906,4.7691755294799805,1
87,4.7453508377075195,4.796237945556641,1
88,4.712654113769531,4.8488688468933105,1
89,4.74730110168457,4.734935760498047,1
90,4.800628185272217,4.790017604827881,1
91,4.787771224975586,4.747037410736084,1
92,4.741452693939209,4.790947914123535,1
93,4.738272666931152,4.713820457458496,1
94,4.7254791259765625,4.709499359130859,1
95,4.704198837280273,4.746532917022705,1
96,4.746194839477539,4.711301803588867,1
97,4.735182762145996,4.720270156860352,1
98,4.727793216705322,4.767111301422119,1
99,4.732565879821777,4.7270402908325195,1
