epoch,train_loss,val_loss,epsilon
0,5.565403938293457,5.572021007537842,10
1,5.5195698738098145,5.5344977378845215,10
2,5.470212459564209,5.476995468139648,10
3,5.43901252746582,5.430629730224609,10
4,5.39769172668457,5.388611793518066,10
5,5.352441787719727,5.361269474029541,10
6,5.303603649139404,5.347572326660156,10
7,5.288474082946777,5.291712760925293,10
8,5.269537448883057,5.28324556350708,10
9,5.253787517547607,5.252442359924316,10
10,5.244326591491699,5.258884429931641,10
11,5.199489593505859,5.209912300109863,10
12,5.200738906860352,5.207904815673828,10
13,5.2014479637146,5.191290378570557,10
14,5.161257743835449,5.148585319519043,10
15,5.186235427856445,5.152108192443848,10
16,5.136064529418945,5.138887405395508,10
17,5.151676177978516,5.170029640197754,10
18,5.135066986083984,5.10247802734375,10
19,5.13429069519043,5.09414005279541,10
20,5.082374572753906,5.127609729766846,10
21,5.077104568481445,5.078787803649902,10
22,5.109385013580322,5.091428756713867,10
23,5.104506015777588,5.063063621520996,10
24,5.086867332458496,5.0862345695495605,10
25,5.0567426681518555,5.041924953460693,10
26,5.068799018859863,5.083202362060547,10
27,5.080391883850098,5.057979106903076,10
28,5.06917667388916,5.037098407745361,10
29,5.0389533042907715,5.033864974975586,10
30,5.042619705200195,5.024502754211426,10
31,5.070174694061279,5.0533037185668945,10
32,5.028476715087891,5.016799449920654,10
33,5.01761531829834,5.010916709899902,10
34,5.022729873657227,4.990288257598877,10
35,5.029970169067383,4.991074562072754,10
36,4.994840145111084,5.002347946166992,10
37,4.990546226501465,4.97487735748291,10
38,4.973574638366699,4.966111183166504,10
39,5.0071210861206055,5.013454437255859,10
40,4.987868309020996,4.996610164642334,10
41,4.977626800537109,4.977258205413818,10
42,4.964351654052734,4.977379322052002,10
43,4.959168434143066,4.915090084075928,10
44,4.940376281738281,4.953569412231445,10
45,4.927037239074707,4.9138078689575195,10
46,4.993538856506348,4.909185409545898,10
47,4.947098255157471,4.949688911437988,10
48,4.887840270996094,4.9017791748046875,10
49,4.9106340408325195,4.940741539001465,10
50,4.882503032684326,4.906911373138428,10
51,4.939993858337402,4.935969352722168,10
52,4.927554130554199,4.9374847412109375,10
53,4.909099578857422,4.912169456481934,10
54,4.891810894012451,4.886791706085205,10
55,4.856101036071777,4.871270179748535,10
56,4.8794426918029785,4.894143581390381,10
57,4.915923595428467,4.829922199249268,10
58,4.872150421142578,4.835631370544434,10
59,4.837608337402344,4.883437156677246,10
60,4.889196395874023,4.8574323654174805,10
61,4.8253326416015625,4.88559627532959,10
62,4.850256443023682,4.831186294555664,10
63,4.838920593261719,4.830392837524414,10
64,4.853283882141113,4.837594985961914,10
65,4.86121940612793,4.805138111114502,10
66,4.8606462478637695,4.782001495361328,10
67,4.855076789855957,4.805095195770264,10
68,4.814929008483887,4.791186332702637,10
69,4.811328887939453,4.783442497253418,10
70,4.7738142013549805,4.768221378326416,10
71,4.799161911010742,4.773580551147461,10
72,4.795871734619141,4.770729064941406,10
73,4.756439208984375,4.792255401611328,10
74,4.786571502685547,4.767416954040527,10
75,4.8185272216796875,4.77493953704834,10
76,4.7766008377075195,4.751823902130127,10
77,4.717522144317627,4.769777297973633,10
78,4.765370845794678,4.752297401428223,10
79,4.723348617553711,4.682677745819092,10
80,4.743965148925781,4.748207092285156,10
81,4.740973949432373,4.700713157653809,10
82,4.7434163093566895,4.729875564575195,10
83,4.72569465637207,4.729257583618164,10
84,4.712582588195801,4.680426597595215,10
85,4.705990791320801,4.677287578582764,10
86,4.686952590942383,4.682801246643066,10
87,4.715301990509033,4.691069602966309,10
88,4.7032270431518555,4.634316444396973,10
89,4.707880973815918,4.749364852905273,10
90,4.653708457946777,4.642778396606445,10
91,4.6773247718811035,4.68599796295166,10
92,4.689462661743164,4.695444583892822,10
93,4.655524730682373,4.639802932739258,10
94,4.712233543395996,4.6168212890625,10
95,4.645877361297607,4.6815361976623535,10
96,4.668649673461914,4.703650951385498,10
97,4.629427433013916,4.61037540435791,10
98,4.6295599937438965,4.636678695678711,10
99,4.625461578369141,4.605254650115967,10
