Iterations	Training_Loss	Validation_Loss
0	4.263579	4.258002
5	3.478579	3.482781
10	3.097769	3.108207
15	2.774898	2.792249
20	2.488636	2.518837
25	2.250465	2.288069
30	2.034517	2.082164
35	1.835613	1.893966
40	1.669154	1.732553
45	1.538191	1.589240
50	1.380872	1.446749
55	1.268791	1.332879
60	1.153358	1.224478
65	1.058479	1.128511
70	0.970530	1.065645
75	0.894706	0.997513
80	0.828848	0.943754
85	0.772513	0.873942
90	0.720786	0.841758
95	0.688967	0.800140
100	0.650719	0.794725
105	0.627074	0.753801
110	0.603840	0.762413
115	0.590682	0.737782
120	0.576179	0.750291
125	0.565863	0.751337
130	0.559915	0.726409
135	0.554163	0.761180
140	0.541913	0.763300
145	0.541887	0.733952
150	0.544226	0.743924
155	0.538433	0.770368
160	0.529804	0.727974
165	0.527223	0.758360
170	0.521672	0.706461
175	0.527629	0.759886
180	0.519156	0.722726
185	0.514605	0.741461
190	0.520397	0.731173
195	0.519448	0.769099
200	0.515035	0.769440
205	0.511764	0.748719
210	0.516912	0.815210
215	0.512027	0.807794
220	0.509418	0.790762
225	0.507690	0.794759
230	0.507270	0.804055
235	0.508025	0.804445
240	0.508535	0.823721
245	0.505227	0.727764
250	0.502717	0.734433
255	0.497561	0.827653
260	0.502160	0.847379
265	0.501104	0.813534
270	0.498092	0.801798
275	0.505536	0.771442
280	0.500261	0.749513
285	0.502323	0.752294
290	0.496968	0.788880
295	0.502878	0.807814
300	0.496983	0.801114
305	0.501748	0.791399
310	0.499284	0.814471
315	0.497334	0.794185
320	0.504569	0.834987
325	0.496245	0.835243
330	0.498189	0.857435
335	0.494828	0.814049
340	0.492650	0.787920
345	0.494965	0.776682
350	0.495730	0.797860
355	0.497599	0.795143
360	0.495986	0.807221
365	0.498608	0.840016
370	0.494035	0.835540
375	0.499106	0.837245
380	0.492664	0.898863
385	0.497295	0.835690
390	0.494781	0.855025
395	0.499293	0.851939
400	0.497139	0.865571
405	0.496939	0.840262
410	0.491353	0.827165
415	0.493299	0.849787
420	0.491703	0.788817
425	0.492677	0.786648
430	0.495864	0.854252
435	0.493722	0.865368
440	0.493146	0.960674
445	0.498162	0.944263
450	0.493601	0.782152
455	0.484680	0.799714
460	0.491575	0.850979
465	0.491643	0.826788
470	0.489551	0.825641
475	0.490936	0.804662
480	0.494044	0.847523
485	0.492452	0.858797
490	0.489437	0.839345
495	0.494258	0.837219
