Iterations	Training_Loss	Validation_Loss
0	4.761359	4.763145
5	3.996098	3.996804
10	3.573665	3.581964
15	3.195235	3.200038
20	2.855148	2.855744
25	2.561995	2.565400
30	2.315692	2.324317
35	2.108695	2.119339
40	1.926114	1.941862
45	1.765333	1.790364
50	1.636436	1.660923
55	1.551082	1.564301
60	1.476345	1.503112
65	1.412321	1.437704
70	1.367528	1.400734
75	1.321835	1.365253
80	1.261199	1.303513
85	1.206135	1.246912
90	1.170952	1.211848
95	1.099973	1.169615
100	1.039307	1.118578
105	0.993720	1.058621
110	0.936298	0.999289
115	0.872979	0.937137
120	0.832574	0.903389
125	0.793249	0.863314
130	0.762014	0.831703
135	0.710436	0.807995
140	0.694429	0.755535
145	0.662876	0.728969
150	0.642338	0.709019
155	0.633350	0.713866
160	0.618731	0.698486
165	0.612097	0.695274
170	0.598189	0.695903
175	0.593484	0.692274
180	0.591086	0.692710
185	0.587040	0.692990
190	0.583912	0.695399
195	0.581424	0.695440
200	0.578647	0.694087
205	0.580796	0.716401
210	0.583399	0.722400
215	0.569065	0.707007
220	0.566150	0.694407
225	0.567684	0.711434
230	0.568809	0.708567
235	0.570410	0.703681
240	0.565021	0.688731
245	0.561726	0.694799
250	0.556458	0.694497
255	0.558443	0.703716
260	0.559956	0.708604
265	0.557110	0.702467
270	0.560430	0.709639
275	0.560106	0.700465
280	0.553697	0.720203
285	0.553099	0.699394
290	0.557978	0.714782
295	0.548393	0.698704
300	0.557689	0.757283
305	0.566604	0.723671
310	0.555729	0.710959
315	0.550828	0.710179
320	0.548317	0.715659
325	0.549468	0.719376
330	0.552529	0.725442
335	0.544974	0.711919
340	0.548883	0.720556
345	0.553384	0.712216
350	0.552977	0.720575
355	0.552983	0.746453
360	0.551674	0.770035
365	0.547955	0.752330
370	0.546350	0.721551
375	0.552662	0.835349
380	0.549510	0.812575
385	0.549759	0.736723
390	0.547411	0.730404
395	0.544333	0.756242
400	0.543999	0.758049
405	0.543213	0.765136
410	0.547686	0.756553
415	0.546808	0.754864
420	0.544264	0.774035
425	0.550383	0.771719
430	0.559622	0.754337
435	0.542930	0.754107
440	0.546314	0.758842
445	0.541731	0.769710
450	0.544923	0.767745
455	0.549096	0.772486
460	0.552919	0.752899
465	0.542490	0.796173
470	0.544784	0.824559
475	0.540347	0.837520
480	0.553629	0.811975
485	0.540569	0.793840
490	0.544345	0.791951
495	0.543820	0.786888
500	0.545262	0.789699
505	0.546063	0.789016
510	0.542126	0.780086
515	0.540983	0.781527
520	0.547359	0.796124
525	0.541901	0.809125
530	0.545801	0.790737
535	0.542660	0.768175
540	0.545158	0.773879
545	0.545699	0.780736
550	0.541057	0.771478
555	0.548663	0.795922
560	0.540653	0.794646
565	0.540774	0.791826
570	0.534859	0.800404
575	0.541543	0.836539
580	0.545500	0.809920
585	0.540932	0.804059
590	0.544825	0.824719
595	0.539683	0.862380
600	0.539946	0.848060
605	0.537274	0.810820
610	0.538003	0.812946
615	0.547698	0.815843
620	0.544601	0.824864
625	0.538532	0.895948
630	0.535514	0.824306
635	0.544214	0.796700
640	0.539996	0.803369
645	0.543747	0.790922
650	0.541417	0.803434
655	0.538246	0.816996
660	0.539210	0.813749
665	0.540391	0.819813
670	0.534932	0.808727
675	0.541312	0.796765
680	0.547498	0.804408
685	0.543784	0.786532
690	0.541513	0.778535
695	0.539860	0.783878
700	0.533873	0.794909
705	0.541408	0.808215
710	0.540752	0.800687
715	0.537319	0.801065
720	0.540719	0.800831
725	0.536324	0.792316
730	0.539759	0.784468
735	0.542057	0.800045
740	0.540164	0.793444
745	0.538326	0.783580
750	0.539850	0.793015
755	0.535815	0.804307
760	0.539847	0.804828
765	0.538297	0.797130
770	0.538322	0.788817
775	0.529821	0.796919
780	0.530997	0.802837
785	0.538446	0.789706
790	0.534745	0.798800
795	0.539226	0.796073
800	0.535111	0.807549
805	0.529218	0.787852
810	0.535487	0.779394
815	0.534572	0.776968
820	0.527177	0.773156
825	0.526642	0.792966
830	0.529483	0.762564
835	0.526394	0.729885
840	0.530038	0.709844
845	0.527942	0.773781
850	0.525016	0.850471
855	0.522046	0.773379
860	0.517575	0.773623
865	0.519696	0.764373
870	0.517004	0.807139
875	0.511295	0.785483
880	0.508833	0.774203
885	0.514343	0.763508
890	0.509643	0.755888
895	0.522247	0.770933
900	0.510905	0.781380
905	0.515686	0.782825
910	0.504163	0.800398
915	0.501363	0.757303
920	0.502953	0.745837
925	0.504273	0.744276
930	0.502819	0.755934
935	0.505257	0.750177
940	0.500430	0.746568
945	0.498572	0.751496
950	0.495317	0.748939
955	0.499646	0.760114
960	0.493946	0.740806
965	0.488163	0.776310
970	0.498057	0.754104
975	0.495889	0.765941
980	0.493081	0.779335
985	0.486022	0.779229
990	0.490572	0.788313
995	0.487238	0.772426
