Iterations	Training_Loss	Validation_Loss
0	4.781907	4.783120
5	4.587989	4.587114
10	4.463487	4.463702
15	4.339007	4.341743
20	4.215794	4.217761
25	4.087911	4.092060
30	3.964934	3.968378
35	3.835451	3.840394
40	3.714967	3.717333
45	3.589074	3.591923
50	3.470620	3.479339
55	3.351814	3.343209
60	3.239171	3.240170
65	3.123572	3.130237
70	3.016857	3.030150
75	2.920528	2.918605
80	2.815441	2.821905
85	2.727104	2.733410
90	2.630171	2.646445
95	2.552856	2.555495
100	2.469446	2.482246
105	2.379108	2.392075
110	2.314017	2.318763
115	2.242034	2.254802
120	2.178357	2.179216
125	2.097045	2.114970
130	2.026225	2.045815
135	1.976405	1.992299
140	1.923801	1.930474
145	1.860302	1.877819
150	1.802809	1.809002
155	1.753769	1.743474
160	1.705301	1.719416
165	1.651320	1.653633
170	1.602089	1.612478
175	1.560738	1.567925
180	1.539230	1.534702
185	1.485088	1.500929
190	1.468767	1.459749
195	1.418996	1.425992
200	1.385327	1.405648
205	1.354621	1.354667
210	1.325427	1.317751
215	1.318969	1.309942
220	1.289135	1.281324
225	1.251808	1.248248
230	1.224573	1.238633
235	1.188261	1.216974
240	1.200652	1.208534
245	1.155341	1.177194
250	1.148756	1.168092
255	1.126078	1.135164
260	1.101866	1.144417
265	1.093504	1.108819
270	1.066219	1.102328
275	1.064330	1.108913
280	1.034004	1.055644
285	1.024696	1.063194
290	1.012573	1.022644
295	1.001546	1.030926
300	0.993217	1.001223
305	0.950825	0.980716
310	0.942670	0.993475
315	0.919399	0.956211
320	0.918609	0.929512
325	0.914778	0.930753
330	0.903028	0.919166
335	0.871752	0.886110
340	0.883207	0.921345
345	0.865678	0.870005
350	0.846804	0.886400
355	0.836609	0.867575
360	0.813002	0.844765
365	0.808224	0.834059
370	0.808356	0.821109
375	0.778128	0.816023
380	0.778622	0.833395
385	0.767109	0.798154
390	0.756652	0.788733
395	0.738194	0.777269
400	0.745410	0.775494
405	0.737438	0.743944
410	0.723891	0.770577
415	0.711517	0.774035
420	0.722079	0.751134
425	0.715231	0.737739
430	0.709388	0.741370
435	0.699039	0.759195
440	0.698537	0.746656
445	0.690506	0.720313
450	0.683808	0.716373
455	0.693118	0.729531
460	0.679524	0.700716
465	0.662601	0.734596
470	0.673459	0.699282
475	0.650251	0.691449
480	0.659691	0.706053
485	0.648626	0.685236
490	0.633996	0.703598
495	0.647290	0.683968
500	0.622193	0.683707
505	0.619709	0.667881
510	0.611190	0.647819
515	0.609152	0.666909
520	0.612149	0.652721
525	0.591586	0.630452
530	0.598447	0.632870
535	0.594090	0.633057
540	0.588146	0.631712
545	0.578776	0.656497
550	0.582853	0.611364
555	0.554565	0.639497
560	0.587032	0.643679
565	0.566481	0.622006
570	0.583744	0.617526
575	0.572631	0.640016
580	0.571802	0.625767
585	0.559699	0.608728
590	0.559942	0.615429
595	0.547535	0.609969
600	0.553884	0.616612
605	0.560664	0.605649
610	0.567067	0.606358
615	0.550486	0.607893
620	0.549590	0.608601
625	0.557304	0.620226
630	0.545229	0.630347
635	0.554858	0.622071
640	0.551418	0.625551
645	0.531275	0.613638
650	0.568839	0.613491
655	0.541785	0.613604
660	0.550806	0.618420
665	0.544219	0.596460
670	0.535922	0.624012
675	0.546624	0.607573
680	0.522248	0.599551
685	0.535449	0.628624
690	0.532856	0.624424
695	0.539815	0.613984
700	0.537899	0.622443
705	0.540585	0.631813
710	0.529294	0.619217
715	0.543474	0.613304
720	0.560059	0.625798
725	0.553394	0.641345
730	0.534431	0.616540
735	0.525814	0.631957
740	0.524074	0.636388
745	0.531259	0.626249
750	0.525094	0.633178
755	0.521002	0.638899
760	0.523475	0.609977
765	0.523820	0.607924
770	0.525620	0.616635
775	0.536935	0.623487
780	0.515286	0.616157
785	0.534372	0.626120
790	0.536362	0.597377
795	0.524095	0.651344
800	0.524211	0.633124
805	0.513046	0.641445
810	0.533503	0.621790
815	0.511765	0.627015
820	0.530087	0.659565
825	0.510979	0.596354
830	0.528863	0.635337
835	0.519795	0.624406
840	0.518147	0.635171
845	0.537711	0.637630
850	0.534666	0.657758
855	0.514995	0.651077
860	0.528661	0.646729
865	0.527379	0.637859
870	0.538508	0.631618
875	0.547219	0.645911
880	0.539057	0.654632
885	0.533658	0.630929
890	0.524312	0.732767
895	0.522098	0.750205
900	0.519847	0.684548
905	0.538149	0.645340
910	0.526872	0.634900
915	0.522887	0.646828
920	0.518373	0.669922
925	0.526032	0.623580
930	0.523194	0.613735
935	0.523028	0.614440
940	0.520377	0.643120
945	0.531094	0.635378
950	0.528306	0.633343
955	0.522636	0.637616
960	0.518778	0.631433
965	0.514128	0.607950
970	0.528829	0.619793
975	0.511038	0.652631
980	0.505532	0.624093
985	0.512309	0.640522
990	0.513068	0.638790
995	0.520090	0.604936
