Iterations	Training_Loss	Validation_Loss
0	4.760609	4.761799
5	3.918872	3.915737
10	3.506908	3.503158
15	3.149682	3.133184
20	2.822628	2.812505
25	2.548899	2.540274
30	2.314020	2.315422
35	2.113819	2.126563
40	1.934605	1.952934
45	1.771743	1.792292
50	1.630496	1.645454
55	1.513020	1.535213
60	1.400337	1.425146
65	1.302027	1.332965
70	1.184569	1.215333
75	1.089123	1.122719
80	0.993438	1.036710
85	0.911779	0.971166
90	0.855706	0.903308
95	0.793886	0.847711
100	0.755464	0.802642
105	0.712602	0.768560
110	0.684499	0.742225
115	0.664766	0.724504
120	0.644865	0.717607
125	0.637865	0.704807
130	0.625554	0.701988
135	0.619574	0.713731
140	0.606414	0.708042
145	0.604526	0.713228
150	0.598306	0.707803
155	0.593500	0.691626
160	0.584609	0.690475
165	0.581863	0.689178
170	0.579473	0.705679
175	0.571936	0.707465
180	0.579385	0.710804
185	0.578171	0.733548
190	0.575926	0.705897
195	0.567391	0.700650
200	0.565321	0.730311
205	0.562949	0.745324
210	0.567019	0.727940
215	0.562164	0.718797
220	0.565141	0.730422
225	0.555016	0.729336
230	0.558692	0.742226
235	0.558446	0.768341
240	0.560203	0.727277
245	0.555576	0.726968
250	0.555610	0.760476
255	0.560114	0.715892
260	0.557239	0.706918
265	0.559126	0.729591
270	0.555344	0.728651
275	0.555787	0.720688
280	0.565273	0.710936
285	0.549066	0.699955
290	0.554057	0.696301
295	0.546481	0.696385
300	0.548337	0.698122
305	0.547334	0.708599
310	0.552850	0.763930
315	0.548694	0.799421
320	0.550537	0.763785
325	0.549745	0.750764
330	0.544152	0.750516
335	0.548854	0.782851
340	0.549650	0.759723
345	0.546604	0.760626
350	0.549286	0.753497
355	0.553232	0.754217
360	0.544221	0.735267
365	0.546238	0.742915
370	0.551910	0.752091
375	0.548862	0.757040
380	0.544177	0.778284
385	0.548514	0.778016
390	0.542424	0.758289
395	0.552848	0.752989
400	0.549311	0.761054
405	0.544065	0.752445
410	0.539068	0.758553
415	0.547489	0.768315
420	0.546644	0.778736
425	0.544231	0.797249
430	0.541323	0.777119
435	0.543940	0.794083
440	0.543161	0.801847
445	0.551716	0.804700
450	0.544706	0.791121
455	0.557800	0.811500
460	0.535741	0.793398
465	0.541960	0.810388
470	0.541947	0.802871
475	0.548089	0.813795
480	0.547834	0.817717
485	0.543635	0.843312
490	0.547480	0.804056
495	0.542491	0.782727
