Iterations	Training_Loss	Validation_Loss
0	4.760609	4.761799
5	3.912448	3.909453
10	3.495894	3.491954
15	3.141523	3.124876
20	2.815897	2.806081
25	2.542424	2.534158
30	2.306655	2.308939
35	2.106516	2.119991
40	1.927071	1.945502
45	1.763472	1.794626
50	1.622163	1.640556
55	1.505485	1.533033
60	1.402747	1.429058
65	1.293622	1.323563
70	1.182134	1.213488
75	1.089181	1.123492
80	1.002469	1.047976
85	0.918750	0.979558
90	0.859471	0.905163
95	0.797522	0.854551
100	0.757038	0.806632
105	0.712217	0.771398
110	0.686155	0.754982
115	0.664274	0.731334
120	0.642205	0.717980
125	0.637240	0.705771
130	0.625596	0.713602
135	0.618337	0.744864
140	0.609683	0.723327
145	0.599912	0.706587
150	0.598090	0.711823
155	0.589676	0.698442
160	0.583411	0.688537
165	0.580508	0.694040
170	0.586619	0.722394
175	0.572119	0.693427
180	0.578678	0.713957
185	0.578920	0.744002
190	0.574663	0.712074
195	0.567622	0.718455
200	0.565787	0.706697
205	0.561799	0.709336
210	0.565672	0.702339
215	0.561680	0.732558
220	0.561139	0.762909
225	0.552511	0.765711
230	0.557977	0.741660
235	0.556928	0.761835
240	0.556324	0.752443
245	0.558017	0.767715
250	0.567147	0.723587
255	0.585383	0.841427
260	0.557586	0.788151
265	0.567673	0.762505
270	0.555114	0.758089
275	0.559456	0.762813
280	0.565409	0.719938
285	0.550004	0.712576
290	0.553949	0.711262
295	0.546925	0.717910
300	0.548633	0.716454
305	0.546633	0.711135
310	0.552466	0.716402
315	0.548772	0.720343
320	0.550354	0.726859
325	0.543259	0.725662
330	0.546356	0.737476
335	0.549826	0.765267
340	0.549657	0.763801
345	0.546827	0.792330
350	0.548435	0.768999
355	0.549605	0.783488
360	0.545459	0.772523
365	0.547527	0.756825
370	0.551996	0.766582
375	0.548443	0.760950
380	0.543426	0.772592
385	0.547909	0.786174
390	0.541404	0.762863
395	0.552030	0.767865
400	0.548722	0.779118
405	0.544192	0.793910
410	0.538768	0.814155
415	0.546506	0.780549
420	0.548821	0.778018
425	0.540091	0.785893
430	0.541181	0.775255
435	0.544622	0.768787
440	0.540670	0.831497
445	0.546434	0.823757
450	0.545647	0.794448
455	0.546118	0.811465
460	0.537006	0.810397
465	0.541703	0.764271
470	0.541827	0.775512
475	0.547200	0.764958
480	0.545162	0.787062
485	0.539956	0.789316
490	0.543985	0.764315
495	0.535463	0.770313
